"pk","bibref","Var1","Relation","Var2","Cor","Subject","Type","SampleN","SampleLocation","SampleDemographic","AnalysisType","AnalysisDetails","StatType","Stat","Confirmed","Notes"
"3189993190","messick1979fairness","33065517",">","1015199955",NA,"Experimental Economics","experiment","","United States","","",NA,NA,NA,"yes","There was a self-serving bias in fairness judgements, having further causal effects on other variables. Equal outcomes were chosen to be fair more often when the self was in a disadvantageous position; when equality was not chosen, what was fair for oneself was seen to be higher than was was deemed fair for the other. So fairness judgements determine proportionality, but distorted by an egocentric shift"
"1550043246","messick1979fairness","1015199955",">","3462401535",NA,"Experimental Economics","experiment","","United States","University Students","",NA,NA,NA,"yes","fairness influences intended choice 93% of the times when it coincides with distributive preferences, but only 59% of the times when it does not coincide"
"2546450274","messick1979fairness","1015199955",">","1191234745",NA,"Experimental Economics","experiment","","United States","University students","",NA,NA,NA,"yes","Fairness influences a subject’s distributive preferences, only when they are judging other’s outcomes. Fairness is not considered when giving preferences for own outcomes"
"3075839380","messick1979fairness","1015199955","~","2892188777",NA,"Experimental Economics","experiment","","United States","University students","",NA,NA,NA,"yes","fairness judgements followed a weak proportionality model, in which proportionality is found for some of the input ratios (ratio between self inputs and other‘s inputs)"
"926139659","messick1979fairness","1191234745",">","3462401535",NA,"Experimental Economics","experiment","","United States","University students","",NA,NA,NA,"yes","distributive preference influences intended choice 93% of the times when it coincides with fairness judgements, but only 28% of the times when it does not coincide"
"1537155202","cutrona1986objective","4228808742","/>","3013313271","none",NA,NA,"","","","","","","","","Though insignificant for young and married mothers, presence of kin showed a significant relationship with loneliness, in elderly women"
"170148838","cutrona1986objective","850554024","/>","3013313271","none",NA,NA,"","","","","","","","",""
"2801920856","cutrona1986objective","4228808742",">","678748647","none",NA,NA,"","","","","","","","","Social support and contact with kin was the most significant predictor of a positive feeling of social support"
"1762177774","cutrona1986objective","850554024","~","678748647","none",NA,NA,"","","","","","","","","Guidance, attachment, Nurturance and reliable alliance are associated with kin variables.  Social integration and reassurance of worth are more linked with non-kin support  "
"3582368270","cutrona1986objective","1510746352",">","678748647","",NA,NA,"","","","","","","","",""
"911755331","cutrona1986objective","3370725657",">","3013313271","none",NA,NA,"","","","","","","","","Especially significant for the elderly"
"1559128523","liebrand1986we","3806255268",">","3536610794","pos","Social Psychology; Cross-cultural psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Perceived fairness positively influences rated frequency of behaviors. Fair behaviors are rated to be more frequent, with a positive self-serving bias (I-fair behaviors are rated more frequent than They-fair)"
"2234861418","liebrand1986we","3806255268",">","3438262777","neg","Social Psychology; Cross-cultural Psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Unfair behaviors are recalled more often than fair behaviors, with a self-serving bias: They-Unfair is recalled more often than I-Unfair"
"2015780850","liebrand1986we","3806255268",">","4214394244","neg","Social Psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Unfair behaviors are more salient than fair behaviors, with a self-serving bias: They-Unfair is are more salient than I-Unfair"
"789844028","liebrand1986we","33065517",">","3806255268","pos","Social Psychology; Cross-Cultural Psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Cross-cultural replication showing that self-serving biases influence fairness judgements positively: behaviors done by self are rated to be more fair than behaviors done by others"
"4059473383","broman1988household","4255055275",">","4211266876","none",NA,NA,"","","","","","","","","People have only slightly higher satisfaction when someone else does most of the work. But they have significantly less satisfaction when they feel like they are overburdened with the housework"
"3068681343","broman1988household","120712906",">","4211266876","pos",NA,NA,"","","","","","","","",""
"3272422590","broman1988household","23781243",">","4211266876","neg",NA,NA,"","","","","","","","","Higher education leads to lesser family life satisfaction"
"3537892478","broman1988household","2629107599",">","4211266876","pos",NA,NA,"","","","","","","","",""
"3366873078","broman1988household","2659795931","/>","4211266876","none",NA,NA,"","","","","","","","","However, employed people who do most of the housework report lower family life satisfaction"
"517903923","camerer1993information","2285668786",">","3806255268","none","Applied Psychology; Behavioural Economics","experiment","","","","","","","","","Having complete and adequate information can increase one’s fair-mindedness, or concern for fairness"
"1702871760","camerer1993information","3806255268",">","1083299556","none","Applied Psychology; Behavioural Economics","experiment","","","","","","","","","Differences in fairness judgements strongly correlated with the differences in settlement offers mande"
"703477220","camerer1993information","3806255268",">","2709055184","none","Applied Psychology; Behavioural Economics","experiment","","","","","","","","","Differences in perceived fairness highly influenced the time taken to settle and the decision to settle"
"944287247","camerer1993information","2285668786","/>","2709055184","none","Applied Psychology; Behavioural Economics","experiment","","","","","","","","","Sometimes the information increases disagreement in offer acceptance and settlement (experiments 1 & 2) and sometimes it lessens disagreement (experiment 3)"
"2450374423","lennon1994relative","378731703",">","3806255268","none","Sociology; Gender Studies",NA,"","","","","","","","","This concerns the social status of the woman"
"3148995521","lennon1994relative","3961451824",">","378731703","none","Sociology; Gender Studies",NA,"","","","","","","","","This concerns the economic status of the woman, and whether it shows potential of falling below the poverty line."
"1752259620","lennon1994relative","3635088339",">","378731703","none","Sociology; Gender Studies",NA,"","","","","","","","",""
"3639503465","lennon1994relative","2199226633","~","3635088339","none","Sociology; Gender Studies",NA,"","","","","","","","",""
"4286082341","lennon1994relative","3529876529","~","3635088339","none","Sociology; Gender Studies",NA,"","","","","","","","",""
"1593775755","lennon1994relative","3626897762","~","3635088339","none","Sociology; Gender Studies",NA,"","","","","","","","",""
"208216478","babcock1995biased","521369159",">","33065517","pos","Experimental Economics","experiment","","United States","Students","",NA,NA,NA,"yes","When the participants were pre-informed of their roles as defendant or plaintiff, they showed a higher self serving bias, as opposed to the condition in which the participants were told their roles only after having made a settlement offer"
"3069008948","babcock1995biased","33065517",">","4041907268","neg","Experimental Economics","experiment","","United States","Students","",NA,NA,NA,"yes","self-serving bias"
"2642746389","babcock1995biased","33065517","~","3806255268","","Experimental Economics","experiment","","United States","","",NA,NA,NA,"yes","self-serving bias"
"4228652687","babcock1995biased","3806255268","~=","4041907268","","Experimental Economics","experiment","","United States","Students","",NA,NA,NA,"yes","perceived fairness"
"2142925856","babcock1995biased","135593599","/>","4041907268","","Experimental Economics","experiment","","United States","Students","",NA,NA,NA,"yes","Knowing that all information regarding bargaining case is common knowledge, does not lead to higher settlement"
"3340868515","knez1995outside","934800318",">","1341976853","none","Behavioural Economics",NA,"","","","","","","","","Mixed results: 35% R1 show positive social comparison (their willing to accept sum goes up with R2’s offers), the rest R1’s are indifferent. 25% R2’s (R2 outside options &gt; R1 outside options) show positive slope with comparison; 25% are indifferent; 50% show negative slope of comparison (R2’s willing to ask goes up as R1’s offers decrease)"
"1223486690","knez1995outside","2067718296","/>","1341976853","none","Behavioural Economics",NA,"","","","","","","","",""
"3278759801","knez1995outside","1015199955",">","1341976853","none","Behavioural Economics",NA,"","","","","","","","","Fairness is calculated, but from an egocentric perspectives."
"2587953255","knez1995outside","934800318","/>","1840845217","none","Behavioural Economics",NA,"","","","","","","","","Proposers dont seem to change their offers significantly from baseline round to comparison round"
"3419734624","greenstein2000economic","4062566323",">","3566938651","pos",NA,NA,"","","","","","","","","As one’s economic dependance increases (no earnings), the number of hours spent in housework also increases. A strong relationship for women and a weaker relationship for men"
"1211400456","greenstein2000economic","1645905594",">","3566938651","none",NA,NA,"","","","","","","","","An effect of metropolitan residence on wive’s amount of housework"
"201271422","greenstein2000economic","2534727278",">","3566938651","none",NA,NA,"","","","","","","","","More traditional wives perform more housework; more traditional husbands perform less housework"
"1634065155","greenstein2000economic","4062566323",">","2361744506","none",NA,NA,"","","","","","","","","Inverted U-shaped pattern. Husbands do more housework up until midway point of dependance (both husband and wife earning same). After that, despit increasing dependance, husbands do progressively less housework"
"2937338523","greenstein2000economic","4062566323",">","93820980","none",NA,NA,"","","","","","","","","U-shaped pattern. As economic dependence decreases, wives do less housework till a midway point of dependance. After that, even though dependance decreases, the housework curve turns upward"
"4182763943","van2001benefits","3806255268",">","593589614","pos","Sociology; Gender Studies","statistical","","","","","","","","","Believing that one’s share of housework is unfair is related with a feeling of low social support"
"3697895442","van2001benefits","4255055275",">","593589614","pos","Sociology; Gender Studies","statistical","","","","","","","","","Having to do more housework (lesser div of household labour) leads to a lower feeling of social support. This is more true for those at an under-advantaged position rather than for those at an over-advantaged position"
"3287501001","van2001benefits","3177390852",">","593589614","none","Sociology; Gender Studies","statistical","","","","","","","","",""
"3048114295","van2001benefits","4255055275",">","292910991","none","Sociology; Gender Studies","statistical","","","","","","","","","Doing more or less housework than equitable, is linked with less emotional support (curvilinear relationship)"
"2577407286","van2001benefits","4255055275",">","902296759","neg","Sociology; Gender Studies","statistical","","","","","","","","","Doing less housework (higher div os household labour) is associated with increased instrumental support"
"1825275672","van2001benefits","3177390852",">","292910991","n-m","Sociology; Gender Studies","statistical","","","","","","","","","Curvilinear relationship"
"1016474956","van2001benefits","3177390852",">","902296759","n-m","Sociology; Gender Studies","statistical","","","","","","","","","Curvilinear relationship"
"1338725349","van2001benefits","4255055275",">","3806255268","n-m","Sociology; Gender Studies","statistical","","","","","","","","","Curvilinear relationship"
"1214630520","van2001benefits","518021378","/>","3806255268","none","Sociology; Gender Studies","statistical","","","","","","","","",""
"3782551212","van2001benefits","2659795931",">","3806255268","neg","Sociology; Gender Studies","statistical","","","","","","","","","This is an interaction term. Doing more housework while being employed is seen as particularly unfair"
"2196185849","batalova2002premarital","377943548",">","4255055275","none",NA,NA,"","","","","","","","","Varies a lot across countries. Only mildly significant effect and about two-fifths of this effect is accounted for by control variables"
"2643516978","batalova2002premarital","2534727278",">","4255055275","",NA,NA,"","","","","","","","",""
"723834372","batalova2002premarital","3127700193",">","4255055275","",NA,NA,"","","","","","","","",""
"433814749","batalova2002premarital","3367459655",">","4255055275","none",NA,NA,"","","","","","","","","GEM’s have a much stronger effect in bringing about equitable division of labour for couples who have cohabited before"
"1149090963","batalova2002premarital","2629107599",">","4255055275","neg",NA,NA,"","","","","","","","","Younger couples tend to divide housework more equitably"
"2576193216","ensminger2004market","2584125301","~=","498833541","","Experimental Economics","experiment","","Kenya","Pastoral Orma","","","","",NA,"market integration is measured by income from wage labour or trade in marketplace (not of self-owned goods, but other’s goods). Self-owned/ produced goods are not taken into account as it would cue wealth"
"2799895402","ensminger2004market","2584125301",">","1840845217","pos","Experimental Economics; Antropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","Linear regression of Ultimatum Game Offer","Beta and p value","Beta = 0.335; p = 0.039",NA,"market integration"
"1109794593","ensminger2004market","23781243",">","1840845217","neg","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","","Beta and p-values","Beta = -0.289; p-value = 0.058",NA,"education attainment"
"3396230056","ensminger2004market","498833541","/>","2404186540","","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","","","",NA,"correlation between income and wealth is extremely low, as the income measure reflects income by sale of things other than one’s own stock. Also those who are wealthy in livestock often do not pursue employment in the wage market and/or trade, and thus do not have incomes."
"138749674","ensminger2004market","23781243","/>","2265411316","","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","Linear Regression of DG offer","","Beta = -0.158; p-value = 0.334",NA,"education attainment has a smaller effect in DG than in UG. Since the hypothesis is that education would cue strategic play in UG, DG would cue strategy in both educated and uneducated people."
"2125926780","ensminger2004market","2584125301",">","2265411316","pos","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","Linear Regression Analysis of DG offer","","Beta = 0.478; p-value = 0.027",NA,"Higher income (cueing higher market integration leads to higher offers made in the Dictator Game"
"2274841482","ensminger2004market","2404186540","/>","1840845217","","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","Linear regression analysis of ultimatum game offer","","Beta = 0.102; p-value = 0.474",NA,"wealth"
"4250019077","ensminger2004market","2404186540","/>","2265411316","","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 37.7; mean education = 1.4 years","","","","Beta = 0.161; p-value = 0.308",NA,"wealth"
"3914555859","ensminger2004market","2584125301","/>","2762812561","","Experimental Economics; Anthropology","experiment","","Kenya","Mean age = 30; only males","","Linear regression analysis of PGG offer","","Beta = 0.350; p-value = 0.166",NA,"market integration"
"866149892","ensminger2004market","2404186540",">","2762812561","pos","Experimental Economics; Anthropology","experiment","","Kenya","Orma pastoralists; mean age = 30; only males","","Linear regression analysis of PGG offer","","Beta = 0.500; p-value = 0/050",NA,"Higher wealth was seen to increase PGG contributions wealthier members tend to donate more to public goods. This is a practice taken from their tradition of harmbee. Can also be seen as akin to progressive taxation."
"1066029481","ensminger2004market","3806255268","~=","1840845217","","Experimental Economics; Anthropology","other","","Kenya","","","","","",NA,"Ultimatum game was cueing to (and thus measuring) fairness perceptions, as was clarified by post-play interviews. Alongside, it was also cueing strategic play"
"2284039480","ensminger2004market","3806255268","~=","2265411316","","Experimental Economics; Anthropology","other","","Kenya","","","","","",NA,"Dictator game was cueing to (and thus measuring) fairness perceptions, as was clarified by post-play interviews"
"886587834","fuwa2004macro","2538168291",">","4255055275","none",NA,NA,"","","","","","","","","Stronger for wives in gender egalitarian countries"
"2865503367","fuwa2004macro","2534727278",">","4255055275","none",NA,NA,"","","","","","","","","Stronger for wives in gender egalitarian countries"
"635591737","fuwa2004macro","167606790","/>","4255055275","none",NA,NA,"","","","","","","","",""
"3158840967","fuwa2004macro","283652280","/>","4255055275","none",NA,NA,"","","","","","","","",""
"618901614","fuwa2004macro","283652280",">","2538168291","neg",NA,NA,"","","","","","","","",""
"1426077221","fuwa2004macro","283652280",">","2534727278","neg",NA,NA,"","","","","","","","",""
"1191629958","fuwa2004macro","3222239845","/>","4255055275","none",NA,NA,"","","","","","","","",""
"2682644608","fuwa2004macro","3222239845",">","2538168291","neg",NA,NA,"","","","","","","","",""
"3626716095","fuwa2004macro","433011654",">","4255055275","pos",NA,NA,"","","","","","","","","Mean gender ideology is the country level gender ideology"
"3606263643","fuwa2004macro","3367459655",">","4255055275","pos",NA,NA,"","","","","","","","","This effect is mediated through time availability and gender ideology at the individual level."
"614426615","henrich2005economic","616065682","~=","2404186540","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","Calculated by animal wealth, cash, land wealth. Only exception where wealth predicted for game offer was an all-male PGG among the Orma."
"419415503","henrich2005economic","616065682","~=","4187196488","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","individual-level differences"
"2114988000","henrich2005economic","1407820358","~=","2584125301","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","group-level differences"
"1687104255","henrich2005economic","1407820358","~=","3387403576","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","group-level differences"
"2200742858","henrich2005economic","1407820358","~=","1929317490","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","group-level differences"
"683976878","henrich2005economic","1407820358","~=","1566665067","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","group-level differences"
"1133372077","henrich2005economic","2584125301",">","1840845217","pos","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"Beta and p-value","Beta = 0.49; p-value = 0.007","yes","MI measures the integration and dependence on the market, and was seen to be a significant predictor of UG offers. For instance, Hadza foragers were ranked low because their life would change little if markets suddenly disappeared. Others, like the Orma, were ranked higher because they frequently buy and sell livestock and work for wage"
"3349189631","henrich2005economic","1929317490",">","1840845217","pos","Experimental Economics","experiment","",NA,NA,"",NA,"","Beta = 0.72; p-value = 0.004","yes","payoffs to cooperation measures the presence of extrafamilial cooperative institutions in a group and this was seen to be a significantly positive predictor of UG offers. For instance, Machiguenga and Tsimane ranked the lowest because they are almost entirely economically independent at the family level. In contrast, the economy of the whale hunters on Lamalera depends on the cooperation of large groups of nonkin and ranked the highest."
"688885521","henrich2005economic","4187196488","~=","2409426187","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","Amount or proportion of land devoted to cash-cropping (as opposed to subsistence cropping) does not predict UG offers. Exception is the Au and Machiguenga."
"652517602","henrich2005economic","4187196488","~=","3131699146","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","Wage labour involvement shows no significant relation to UG offers. Only exception is Orma, where individuals participating in wage labour make significantly higher offers."
"2999915749","henrich2005economic","4187196488","~=","925279236","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","market exposure"
"1720792154","henrich2005economic","1774903421","~","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","yes","regularly followed social traditions, especially in case of sharing food and resources, explained observed PGG behaviour. The harambee institution in Orma, gift-giving in Au and Gnau, division of hunted whale in Lamalera, sharing of hunt in Ache where hunters forego their own share, unwilling sharing of meat in Hadza, no sharing beyond family unit in Machiguenga and Tsimane."
"962562580","henrich2005economic","2919368234",">","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","ethnolinguistic group: responder"
"1630715485","henrich2005economic","2569232641",">","1840845217","","","","",NA,NA,"",NA,"","","no","selfishness axiom"
"655765540","henrich2005economic","616065682",">","4088444644","","","","",NA,NA,"",NA,"","","no","individual-level differences"
"3687330553","henrich2005economic","1407820358","~=","362161258","","","","",NA,NA,"",NA,"","","","group-level differences"
"3414084359","henrich2005economic","1407820358","~=","4000067723","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","Socipolitical Complexity measures how much decision making occurs above the level of the household and did not significantly predict for UG offers made. "
"4026630086","henrich2005economic","4000067723",">","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","no","sociopolitical complexity"
"2857696374","henrich2005economic","1566665067",">","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","no","anonymity"
"92143230","henrich2005economic","3387403576",">","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","no","privacy"
"71613025","henrich2005economic","362161258",">","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","no","settlement size"
"1715464887","henrich2005economic","616065682",">","1840845217","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","no","individual-level variables explain little of the UG offer variations within or across groups, with a few group-specific exceptions."
"767990495","henrich2005economic","616065682","~=","2629107599","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","individual-level differences"
"1576163728","henrich2005economic","616065682","~=","2786621408","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","Gender of proposer was not significantly predictive, with the exceptions being Tsimane where men contributed marginally more and the Hadza, where women contribute significantly more."
"740916608","henrich2005economic","616065682","~=","23781243","","Experimental Economics; Anthropology","experiment","",NA,NA,"",NA,"","","","Extent of education does not predict game offers. Only exception was Tsimane, where the extent of formal education was a significant factor."
"1038604148","braun2008perceived","4255055275",">","3806255268","pos","Sociology; Gender Studies",NA,"","","","","","","","","The more inequality is present (less division of housework), the less equity is perceived"
"505793159","braun2008perceived","93820980",">","3806255268","neg","Sociology; Gender Studies",NA,"","","","","","","","","When share of housework done by women is low and housework done by other members is high, higher equity is perceived."
